UNK	GMP1	GMP2	GMP3	MKP	pDC	Bcell	CD4Tcell	CD8Tcell	NKcell	CLP	Ery	LMPP	CMP	GMP	HSC	MEP	Mono	MPP
LINC00115	27	5	1	7	18	26	58	125	100	134	23	54	16	37	43	31	44	168	87
FAM41C	0	2	4	3	2	23	42	4	0	2	0	3	28	17	41	38	8	0	20
AL645608.2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
RP11-54O7.16	14	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0
RP11-54O7.1	133	10	2	0	1	13	3	0	1	19	2	1	33	4	12	3	2	6	3
RP11-54O7.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
RP11-54O7.3	63	0	0	0	0	0	0	0	0	0	0	0	30	3	3	0	1	0	0
SAMD11	18	10	13	0	0	0	0	2	0	0	0	0	1	4	1	0	0	0	15
AL645608.1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	418	178	116	67	529	331	169	307	325	150	38	12	381	578	819	314	867	426	715
KLHL17	5	6	1	17	12	7	23	12	7	10	0	0	7	0	4	0	5	16	0
PLEKHN1	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	6	0
C1orf170	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	1	0
RP11-54O7.17	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	0	0	0	0	0	392	1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.11	0	0	0	0	0	0	2	6	8	0	0	0	0	1	0	1	0	0	0
ISG15	29	31	25	0	48	8	18	58	64	95	2	8	85	85	64	45	53	185	94
AGRN	97	10	32	34	25	31	4	21	38	23	3	10	39	76	147	10	190	143	27
RP11-54O7.18	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C1orf159	7	6	90	6	63	133	26	68	43	36	5	0	26	48	60	29	97	70	56
RP11-465B22.5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
RP11-465B22.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	1	0	0
TTLL10	0	37	0	17	0	1	2	1	0	7	0	0	5	34	5	21	100	1	24
TNFRSF18	0	0	0	0	10	0	1	6	0	106	0	0	1	0	2	0	0	0	1
TNFRSF4	2	0	0	0	14	0	1	1	1	1	0	0	1	0	0	0	1	5	1
SDF4	457	666	631	583	897	509	237	545	385	573	12	8	386	1045	1199	425	1149	1240	893
B3GALT6	359	236	392	907	2236	1100	326	531	399	742	165	24	802	1469	2088	604	2384	859	1190
FAM132A	0	0	0	0	1	0	1	0	1	0	1	0	1	3	0	0	1	1	1
RP5-902P8.12	0	0	0	0	1	0	0	13	1	0	0	1	0	0	1	1	7	3	0
UBE2J2	266	143	129	124	454	198	171	447	287	336	167	85	362	609	625	340	1061	874	536
RP5-902P8.10	208	0	0	0	0	0	0	0	1	1	2	0	0	1	1	1	5	6	1
SCNN1D	157	4	0	0	16	3	0	12	1	0	0	0	14	1	1	0	13	7	4
ACAP3	150	213	155	6	56	64	9	48	11	20	3	3	78	96	153	39	68	101	99
PUSL1	103	43	126	141	78	157	30	80	65	38	3	3	99	213	318	92	318	239	193
CPSF3L	595	172	291	186	522	374	231	536	297	347	92	110	518	1103	1131	489	1137	723	954
GLTPD1	29	6	19	38	25	67	52	31	12	42	6	2	31	50	54	34	62	31	82
TAS1R3	0	0	1	0	0	2	2	2	1	6	0	0	1	4	2	10	2	1	13
DVL1	180	41	144	74	249	170	4	76	42	50	0	2	59	138	193	69	268	89	157
MXRA8	0	0	0	4	15	0	0	27	101	1	0	0	2	8	1	2	1	2	0
AURKAIP1	347	498	538	1333	652	615	435	628	538	265	144	69	469	1248	1606	524	1247	1160	890
CCNL2	983	364	202	103	903	1276	817	1655	1064	1216	858	271	517	755	984	859	1114	1714	1093
RP4-758J18.2	257	50	302	88	1137	319	150	693	433	312	93	10	279	687	535	204	580	693	358
MRPL20	225	262	390	193	948	301	1015	1897	1527	1554	929	928	1027	1844	2407	790	2589	1371	1248
RP4-758J18.13	12	2	58	0	87	46	42	81	43	31	47	24	54	57	118	12	110	51	68
ANKRD65	0	44	118	587	4	731	1	3	1	1	0	0	61	25	63	148	2	5	75
RP4-758J18.7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	3
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
RP4-758J18.10	0	0	12	1	0	0	0	0	0	0	0	0	3	4	2	10	0	0	35
VWA1	27	65	12	12	13	27	0	0	0	0	0	0	46	14	27	36	0	0	60
ATAD3C	1	1	1	0	7	1	6	36	24	22	1	0	28	8	1	3	1	0	15
ATAD3B	446	45	298	153	197	214	42	81	35	36	7	4	76	132	121	52	154	33	61
ATAD3A	773	316	643	947	1116	454	11	15	17	23	3	1	136	235	350	64	497	82	99
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	910	1110	1141	2254	4270	1693	2699	4094	3335	1759	954	456	2036	4906	5104	3208	4992	4388	4370
AL645728.1	7	75	38	0	54	24	49	123	290	8	4	1	10	54	49	24	62	251	22
C1orf233	399	371	254	334	4150	10	13	72	48	62	1	0	440	789	808	299	1420	278	483
RP11-345P4.9	50	133	189	414	205	91	493	868	560	274	64	84	186	635	713	773	725	743	713
MIB2	118	9	53	5	39	65	24	138	103	599	4	2	29	27	47	16	60	31	83
MMP23B	0	0	0	0	0	0	0	2	3	34	0	0	0	0	1	0	2	1	0
CDK11B	538	248	398	178	1140	826	311	487	360	409	139	89	252	641	945	419	741	631	566
RP11-345P4.10	2	0	0	0	0	0	1	1	3	1	0	0	3	2	0	1	0	0	3
SLC35E2B	604	400	735	2234	2824	3232	1795	3322	2111	1707	1655	200	1281	3609	3619	2565	4279	2551	3411
RP11-345P4.7	29	23	55	86	124	71	98	150	107	140	151	49	36	71	20	59	35	88	69
CDK11A	876	584	511	865	1928	1016	876	1418	1003	1234	600	685	440	956	1591	889	1267	1469	855
SLC35E2	12	37	63	272	133	176	94	249	140	67	52	3	81	169	182	197	186	84	274
NADK	221	69	163	223	698	1185	876	413	279	500	220	81	261	733	1555	481	1132	4733	787
GNB1	13667	13491	13299	27428	20491	31256	11322	15038	10676	12877	10483	1722	11903	25307	40136	15834	21465	29889	20568
RP1-140A9.1	0	0	0	0	0	0	22	31	28	17	7	1	5	26	7	14	13	21	35
CALML6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	7	0	0
C1orf222	0	0	0	0	0	0	0	3	0	1	0	0	1	0	5	0	1	3	3
RP11-547D24.1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
GABRD	0	5	0	0	62	5	0	0	0	0	0	0	6	0	2	0	0	1	1
RP11-547D24.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	8
PRKCZ	7	51	51	0	24	2	177	287	215	149	0	0	118	263	64	328	163	59	413
RP5-892K4.1	0	0	0	0	0	0	5	21	11	3	0	0	1	1	1	1	0	22	3
RP11-181G12.2	591	189	264	275	593	371	388	277	110	148	13	0	85	291	228	248	176	182	372
C1orf86	243	42	168	242	220	151	68	146	139	110	8	6	83	207	140	135	175	96	353
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590822.1	1	0	0	0	0	0	2	0	0	1	0	0	0	4	0	2	0	0	9
RP11-181G12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-181G12.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
SKI	2942	1218	869	1988	2496	572	1462	4134	1963	1772	54	416	635	2656	1668	1952	3236	3888	2662
MORN1	47	49	52	42	53	125	88	68	80	39	59	19	70	128	153	245	146	25	269
AL589739.1	8	14	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	0	2
RER1	1524	1488	1108	3302	3320	1825	1458	2945	2229	2342	1775	1125	1712	3475	5025	2287	4014	3957	3345
PEX10	9	6	118	16	152	31	72	74	41	28	32	1	89	218	172	106	191	73	202
PLCH2	1	0	0	33	0	5	15	97	36	74	0	0	1	5	3	6	9	8	8
RP3-395M20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
RP3-395M20.3	0	0	0	0	0	0	1	5	6	3	0	0	1	0	0	0	0	0	0
PANK4	157	13	45	124	284	294	135	410	229	242	94	54	204	255	296	135	340	408	294
HES5	0	0	7	0	70	0	0	0	0	0	0	0	0	0	0	0	8	0	0
RP3-395M20.12	0	15	0	0	43	16	5	6	2	26	0	0	0	4	1	0	7	11	1
TNFRSF14	125	49	108	12	639	113	541	804	506	382	31	3	50	246	121	387	221	845	644
RP3-395M20.7	0	2	0	0	30	1	6	13	4	1	0	0	0	0	0	1	0	13	0
RP3-395M20.9	0	0	0	0	52	0	15	45	20	0	1	2	0	6	0	4	1	3	5
FAM213B	121	48	186	135	1227	524	123	533	338	184	79	156	252	997	442	400	1930	296	711
MMEL1	0	0	0	0	40	0	0	4	3	1	0	0	1	2	3	1	6	2	1
RP13-436F16.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
TTC34	0	0	11	0	32	4	132	227	158	136	157	0	41	55	46	93	78	44	328
RP11-740P5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	0	0	0	0	78	0	0	0	0	0	0	0	12	23	0	91	1	0	93
PRDM16	42	30	0	0	58	0	0	0	0	14	0	0	128	436	28	1463	7	4	2622
RP1-163G9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3
RP11-22L13.1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	30	0	0	23
ARHGEF16	23	0	0	0	0	57	1	1	0	0	0	0	2	5	6	5	2	0	2
RP11-168F9.2	0	0	0	0	0	0	28	33	10	1	25	0	9	7	15	42	6	1	7
MEGF6	490	121	79	6	3	29	112	145	51	4	17	0	264	248	370	219	143	45	296
RP11-46F15.2	0	0	0	0	0	0	1	4	0	1	0	0	0	1	0	0	0	0	0
TPRG1L	101	134	196	738	858	523	1515	4502	3173	2533	370	1777	814	1647	1936	2108	2758	2407	2395
WRAP73	110	20	50	103	109	61	242	139	99	204	17	17	98	189	258	104	287	199	185
TP73	63	22	0	16	13	10	54	30	13	3	0	3	21	8	3	47	14	14	38
RP5-1092A11.5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	14	0
RP5-1092A11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	962	460	465	1013	1287	1004	649	1585	862	500	257	150	595	1381	1617	1237	1478	774	1411
CCDC27	1	0	0	0	2	0	8	8	2	0	1	2	4	6	2	17	36	0	8
SMIM1	6	0	0	0	111	0	4	1	3	1	0	25	3	46	0	32	168	3	25
LRRC47	1469	1074	1298	2291	3725	2418	652	1393	1148	1320	1223	636	1104	2219	2522	1462	3848	1709	2089
RP1-286D6.5	4	0	0	0	52	0	1	27	3	3	1	19	6	23	8	47	76	11	32
CEP104	432	586	405	631	3429	1894	3013	3301	2166	2910	1392	1111	1540	2795	3369	2457	4167	3345	3079
DFFB	95	24	84	87	512	65	349	673	411	438	150	22	294	807	741	408	1158	414	549
C1orf174	317	83	202	939	822	391	434	966	762	1769	391	272	730	1790	2245	687	2810	1357	1210
LINC01134	0	0	0	1	30	0	0	0	1	5	1	12	3	22	2	4	25	17	1
RP13-614K11.1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RP13-614K11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	2	0	0	0	0	163	0	43	12	1	0	0	26	0	6	0	0	0	0
RP11-542C10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP1-58B11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
NPHP4	147	60	350	245	335	160	201	230	138	99	41	12	156	222	633	153	376	334	179
KCNAB2	6613	3947	4334	7653	1917	4300	822	1774	1159	2176	247	0	4307	5623	12094	3340	1851	5888	4813
AL035406.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD5	35	199	7	101	1	11	6	0	3	2	1	0	54	9	50	5	65	6	5
RPL22	6875	8525	8620	14163	21372	14657	36636	84388	53730	17598	32659	7899	38629	82273	76918	67226	70217	24260	79025
RP1-120G22.11	0	5	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
RNF207	48	0	0	0	5	0	5	36	29	7	1	4	7	7	5	3	42	30	15
ICMT	1832	1822	2103	3568	6531	5574	1521	2073	1727	2655	1881	2478	3801	7307	13323	3470	9539	3992	3600
LINC00337	2	0	5	1	4	1	0	7	5	0	0	0	0	1	14	1	1	3	1
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	0	0	207	238	0	32	1	1	20	160	0	0	5	63	44	2	6	18	0
ACOT7	646	1696	1776	3957	3853	3970	71	426	306	479	82	82	1083	2811	4426	946	3537	227	1154
RP1-202O8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES2	0	0	1	0	0	0	0	2	0	2	0	0	0	1	5	0	4	1	2
ESPN	0	0	0	0	0	0	0	6	3	0	0	34	0	0	0	0	72	0	1
RP1-202O8.2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TNFRSF25	6	0	0	0	126	1	0	475	127	20	0	13	0	10	1	5	259	3	1
PLEKHG5	1	0	0	0	0	0	0	100	23	3	0	1	12	8	6	15	1	0	2
NOL9	1342	1008	1132	1157	3007	1583	3149	6362	3823	2787	4043	1440	2934	5933	6602	3692	6408	2260	3936
TAS1R1	0	0	0	0	5	9	0	10	0	2	0	0	0	9	2	0	9	53	0
ZBTB48	943	243	531	1137	940	725	247	475	266	193	132	6	336	1071	858	413	659	1036	658
KLHL21	493	201	289	1269	484	1950	262	1028	672	513	60	179	364	838	1001	467	1625	1505	880
PHF13	141	7	49	231	1015	596	204	301	193	259	375	705	164	450	296	276	578	230	249
THAP3	52	9	0	42	113	41	21	143	53	59	4	11	24	41	91	47	153	78	58
DNAJC11	1795	1274	711	1914	2296	807	532	947	702	654	492	466	1109	2129	2571	1357	3250	1315	1498
RP11-242F24.1	27	2	0	0	0	0	1	2	1	0	0	0	1	0	1	1	0	1	0
RP11-312B8.1	0	0	0	1	11	4	3	1	2	2	1	0	2	9	6	4	6	12	18
CAMTA1	820	552	732	1927	2576	804	1699	2456	1198	1368	1245	644	1564	2692	3264	1770	1867	1603	2201
RP11-334N17.1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
RP3-453P22.2	0	0	0	0	0	0	4	3	0	0	0	0	0	0	1	1	0	0	0
RP4-549F15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-338N10.1	0	0	0	0	0	0	0	7	0	0	0	0	4	1	1	1	1	0	0
RP11-338N10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
RP11-338N10.3	0	0	0	0	0	0	2	4	0	0	1	0	1	0	1	13	0	0	0
VAMP3	2335	1436	1686	4323	9796	3125	3038	5148	3700	5996	2648	2313	4343	10692	10911	8614	9100	27163	8356
PER3	427	69	143	1352	2234	214	361	1568	1116	1748	242	45	920	1395	1462	1708	1059	1160	1622
RP3-467L1.4	0	12	0	0	2	5	3	23	13	10	4	0	4	7	8	21	6	4	12
UTS2	10	22	0	0	94	0	173	383	495	1063	1	1	32	201	104	69	60	470	32
TNFRSF9	0	0	1	0	2	0	0	45	213	69	0	0	0	5	1	1	0	111	1
PARK7	2636	3967	4027	8011	10657	10151	2979	5877	4703	5691	4907	1917	6601	11216	14446	5763	10857	7610	7129
ERRFI1	4	4	7	0	50	1	80	407	719	543	38	1	63	42	60	71	10	89	163
RP11-431K24.1	4	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1
RP11-431K24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
RP11-431K24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	0	0	0	0	0	0	5	3	5	0	0	1	1	0	4	0	2	27
RERE	4237	3877	4028	6915	5279	8848	8038	9034	3939	2808	4566	759	5921	7264	10775	10833	7288	8552	11765
RP5-1115A15.1	123	17	1	0	16	68	203	130	88	52	150	36	69	57	82	230	79	42	167
RP4-633I8.4	0	1	0	0	14	0	17	5	4	4	6	9	10	1	1	1	4	1	4
ENO1	6605	5380	5257	9517	8899	2984	4751	8590	6493	5023	3419	61	20963	38971	49368	23694	27970	22901	36386
ENO1-AS1	0	0	0	0	10	6	14	31	15	3	4	0	17	39	9	22	10	4	19
CA6	74	0	0	0	0	1	0	330	575	0	4	0	2	5	20	0	0	1	0
SLC2A7	0	0	0	0	0	0	0	0	5	0	1	0	0	1	4	1	0	0	0
SLC2A5	2636	1140	1192	1007	29	98	641	5	0	1	1363	0	2877	1575	5443	1560	360	92	1539
GPR157	102	30	2	8	60	65	50	227	106	38	34	0	28	105	158	121	106	101	137
RP3-510D11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-510D11.2	0	0	0	0	0	0	1	0	0	0	4	0	3	5	1	1	0	0	0
H6PD	1732	1188	1343	1509	873	2103	1577	2310	1388	2341	562	2	1920	4579	5606	3293	5296	5627	3650
SPSB1	118	1	2	1	487	39	32	159	61	38	123	0	89	19	13	17	14	55	20
RP13-392I16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC25A33	329	83	172	317	486	136	428	448	285	343	260	77	403	1524	1139	843	1348	461	954
TMEM201	1247	757	863	1017	1410	509	97	171	109	105	111	43	972	1739	1655	841	1991	234	1545
PIK3CD	990	1290	962	2391	1075	4493	3397	5632	3467	3300	2144	0	2288	2886	8201	1888	1518	6200	2728
C1orf200	7	25	34	210	68	157	60	196	126	119	148	0	60	44	407	19	16	234	52
RP11-558F24.4	2	64	0	0	40	0	75	42	39	26	66	0	12	127	29	32	168	10	27
CLSTN1	2504	3035	3009	6787	3111	5229	4482	9403	5209	5594	3003	15	4575	8325	10205	6679	4736	5591	8806
CTNNBIP1	121	255	221	377	670	430	150	299	203	673	355	11	752	1134	1681	600	977	1039	1176
RP11-84A14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LZIC	465	872	1054	1961	4207	2412	1849	4134	3089	2844	2879	1549	2734	4909	5619	4064	4781	4054	4164
NMNAT1	22	65	14	61	394	119	248	378	243	409	477	9	328	436	559	423	428	849	338
RBP7	1	0	0	0	158	0	0	10	12	7	4	1	0	8	1	1	18	8363	20
UBE4B	2972	3488	3422	4970	8561	7812	4781	7963	5811	6099	4977	5997	7889	16272	17689	11829	16413	11199	14521
KIF1B	1191	819	905	1634	1746	1203	2093	3904	2112	3237	2196	177	3519	4527	5856	4913	4169	12814	4735
PGD	4441	3405	4256	8496	11214	4661	1147	2803	2239	1443	1438	213	8868	23309	19874	12567	24278	57415	16162
RP4-736L20.3	0	0	0	0	0	1	7	4	0	7	3	8	4	10	4	0	1	0	0
APITD1	41	12	25	87	81	83	127	79	61	12	106	149	171	278	411	120	219	18	143
APITD1-CORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORT	14	13	0	0	0	0	6	3	0	0	2	3	1	3	10	10	3	0	0
DFFA	1384	1011	770	2347	3388	1696	1365	2179	1810	2019	1189	200	1875	3000	4281	2621	3820	1832	3344
RP5-1113E3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX14	192	43	74	647	310	165	557	321	288	322	49	31	297	565	641	352	746	588	607
CASZ1	89	20	25	57	85	161	412	158	158	370	54	20	81	200	131	168	92	135	191
RP4-734G22.3	85	7	0	0	49	8	43	6	28	53	17	8	1	5	60	7	5	22	22
C1orf127	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	4	0
TARDBP	6673	5283	6362	10635	27064	7713	14345	14810	12075	15409	22227	9781	16885	27744	36713	17096	33985	15705	19637
MASP2	322	233	202	621	845	977	1716	2019	1607	945	1094	546	575	1262	1582	1277	1094	966	1293
RP4-635E18.8	246	63	58	91	279	135	437	738	446	378	255	161	291	615	379	444	315	378	327
SRM	17052	15170	16872	27111	9946	2799	2660	2390	2040	1077	426	17	5513	13115	19175	4325	17349	3993	7935
EXOSC10	3352	2283	2456	5820	9540	3741	3024	4638	3340	3821	3914	2599	4333	8269	12131	4622	12100	5218	6198
RP4-635E18.7	6	0	0	0	0	37	28	60	39	34	5	11	6	4	16	15	11	9	3
RP4-635E18.6	1	0	0	0	0	0	0	1	0	0	0	0	0	1	9	0	7	3	0
MTOR	3132	2543	3057	4573	7529	3599	5385	7320	4745	5968	4137	2664	5104	10659	14106	5043	11408	7676	7186
MTOR-AS1	1	0	33	0	42	8	89	85	63	75	38	54	24	50	54	14	26	27	51
ANGPTL7	5	16	7	14	33	0	139	183	91	171	98	67	113	191	151	65	94	162	95
UBIAD1	932	838	1170	2424	1321	1628	1569	2405	1621	1312	522	335	1887	3293	4488	2013	3725	1353	2894
PTCHD2	0	0	2	0	0	0	175	7	1	3	1	0	2	3	4	1	1	0	4
RP1-69M21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO2	0	0	0	0	0	0	22	82	58	62	0	0	0	0	0	0	0	0	0
FBXO44	16	2	34	79	42	81	77	371	168	149	25	0	41	67	68	128	42	61	139
FBXO6	7	12	13	7	40	28	17	128	86	339	21	2	74	121	191	105	120	547	156
MAD2L2	561	296	326	1112	676	809	222	581	450	667	989	142	712	1415	2251	424	1542	926	933
DRAXIN	88	52	4	0	41	1	2	1	15	590	130	0	2	8	43	12	5	13	6
AGTRAP	393	258	452	386	132	14	206	319	253	461	5	2	401	577	974	281	522	3978	411
C1orf167	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	4	3	0
RP11-56N19.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MTHFR	478	95	142	134	812	669	1387	1399	822	1571	600	325	440	1004	1013	826	2696	2227	1173
CLCN6	681	249	651	1093	1811	876	3041	758	533	795	604	194	906	1636	1601	1188	2035	2486	2323
NPPA-AS1	36	19	0	0	0	3	97	22	52	25	23	35	59	23	25	26	7	26	29
NPPA	0	0	0	0	1	0	16	13	12	14	2	0	2	9	12	25	2	24	15
NPPB	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
KIAA2013	352	576	730	897	826	3064	939	603	399	1052	324	132	842	1810	2883	686	2402	2639	1128
PLOD1	161	716	635	759	675	350	77	112	167	1601	23	48	609	1457	1930	1143	2658	5755	1289
MFN2	2813	2993	4414	3233	9903	4027	2782	3918	2754	4649	2469	7141	2669	5378	6667	3036	9095	8101	4440
MIIP	127	45	68	45	92	112	48	77	47	61	8	6	82	203	261	93	287	420	156
TNFRSF8	0	0	0	0	5	12	1	2	0	2	1	0	25	20	19	10	7	425	13
TNFRSF1B	861	856	1603	5261	1339	2973	1746	3775	1844	6479	113	132	882	179	4744	586	308	51535	744
VPS13D	1530	1798	1951	4416	5151	6098	17568	20107	14030	12613	5845	2727	6895	11346	14575	11532	13023	16274	11108
RP5-888M10.2	0	0	0	0	0	0	1	12	0	0	0	0	0	1	0	0	0	0	1
DHRS3	52	53	327	442	1262	299	2	1967	901	2283	7	103	242	1188	885	2	3025	27	121
RP11-474O21.5	19	0	0	0	257	0	0	20	5	18	0	0	0	9	3	0	9	2	3
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
AADACL3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-845O24.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
